dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,class_id,class_name,intersection_pixels,union_pixels,iou,is_foreground
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,7,car,516,8115,0.06358595194085027,True
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,15,person,0,18,0.0,True
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,19,train,0,2,0.0,True
160,2007_005262,low_light,mild,0.6,7.901189103369771,0,background,149568,150268,0.9953416562408497,False
160,2007_005262,low_light,mild,0.6,7.901189103369771,6,bus,24347,24730,0.9845127375657097,True
160,2007_005262,low_light,mild,0.6,7.901189103369771,7,car,7949,8115,0.9795440542205792,True
160,2007_005262,low_light,mild,0.6,7.901189103369771,15,person,0,151,0.0,True
160,2007_005262,low_light,medium,0.35,3.6986417688211666,0,background,149601,150455,0.9943238842178724,False
160,2007_005262,low_light,medium,0.35,3.6986417688211666,6,bus,24214,24730,0.9791346542660736,True
160,2007_005262,low_light,medium,0.35,3.6986417688211666,7,car,7895,8130,0.9710947109471094,True
160,2007_005262,low_light,medium,0.35,3.6986417688211666,15,person,0,103,0.0,True
160,2007_005262,low_light,severe,0.15,1.3788135731020712,0,background,149698,151176,0.9902233158702439,False
160,2007_005262,low_light,severe,0.15,1.3788135731020712,6,bus,23956,24730,0.9687019813991103,True
160,2007_005262,low_light,severe,0.15,1.3788135731020712,7,car,7432,8136,0.9134709931170109,True
165,2007_005360,gaussian_noise,mild,10.0,24.672238307297036,0,background,116203,119008,0.9764301559559021,False
165,2007_005360,gaussian_noise,mild,10.0,24.672238307297036,7,car,0,7,0.0,True
165,2007_005360,gaussian_noise,mild,10.0,24.672238307297036,15,person,0,89,0.0,True
165,2007_005360,gaussian_noise,mild,10.0,24.672238307297036,19,train,41135,43844,0.938212754310738,True
165,2007_005360,gaussian_noise,medium,25.0,17.03728774464312,0,background,116043,119217,0.9733762802284909,False
165,2007_005360,gaussian_noise,medium,25.0,17.03728774464312,15,person,0,175,0.0,True
165,2007_005360,gaussian_noise,medium,25.0,17.03728774464312,19,train,40924,43927,0.931636578869488,True
165,2007_005360,gaussian_noise,severe,50.0,11.633679824543714,0,background,113469,118267,0.9594307795073859,False
165,2007_005360,gaussian_noise,severe,50.0,11.633679824543714,19,train,41876,46674,0.8972018682778421,True
165,2007_005360,jpeg_compression,mild,50.0,23.0206499633182,0,background,116331,119807,0.9709866702279499,False
